transaction_id,transactional_date,product_id,customer_id,payments,credit_card,loyalty_card,cost,quantity,price
137,16-05-2021 06:27,P0746,3,visa,4.04159E+12,F,6.57,1,7.89
138,16-05-2021 09:28,P0399,6,mastercard,5.04837E+15,F,9.83,3,11.29
139,16-05-2021 11:12,P0215,5,mastercard,5.10875E+15,F,0.81,1,1.59
140,16-05-2021 16:37,P0456,2,americanexpress,3.74289E+14,F,18.35,1,20.19
141,16-05-2021 18:32,P0372,7,visa,4.0416E+15,F,5.75,1,6.89
142,16-05-2021 20:50,P0683,5,americanexpress,3.74283E+14,T,11,1,11.59
143,16-05-2021 20:58,P0190,9,americanexpress,3.74284E+14,F,18.93,3,20.89
144,16-05-2021 22:24,P0509,6,,3.58448E+15,F,11.66,6,12.89
145,16-05-2021 23:13,P0484,6,mastercard,5.10875E+15,F,10.9,1,11.59
146,17-05-2021 00:36,P0703,6,americanexpress,3.74288E+14,F,17.42,1,18.49
147,17-05-2021 02:22,P0493,5,mastercard,5.04837E+15,F,18.02,2,19.69
148,17-05-2021 02:30,P0299,5,visa,4.0416E+12,T,13.5,2,14.79
149,17-05-2021 03:09,P0386,7,visa,4.04159E+15,F,19.79,1,21.39
150,17-05-2021 03:32,P0111,8,visa,4.0416E+12,T,11.74,1,13.09
151,17-05-2021 05:01,P0720,8,mastercard,5.10876E+15,F,1.16,1,1.69
152,17-05-2021 05:53,P0575,7,mastercard,5.04838E+15,F,2.81,4,3.99
153,17-05-2021 06:21,P0175,9,americanexpress,3.74284E+14,F,10.26,2,11.49
154,17-05-2021 08:14,P0160,8,visa,4.0416E+12,F,18.16,1,19.89
155,17-05-2021 09:11,P0549,5,mastercard,5.04837E+15,F,16.85,1,18.19
156,17-05-2021 09:40,P0325,10,americanexpress,3.74284E+14,F,5.35,1,6.29
157,17-05-2021 10:38,P0683,8,visa,4.04159E+12,F,11,1,11.59
158,17-05-2021 16:45,P0475,4,visa,4.04159E+12,F,8.08,1,8.79
159,17-05-2021 18:02,P0397,3,visa,4.04159E+15,T,13.67,1,14.89
160,17-05-2021 20:57,P0318,6,visa,4.04159E+12,F,6.76,1,7.99
161,18-05-2021 01:00,P0708,4,mastercard,5.10875E+15,F,17.79,5,19.19
162,18-05-2021 01:40,P0747,6,americanexpress,3.74289E+14,F,14.79,1,16.19
163,18-05-2021 03:34,P0187,2,mastercard,5.04837E+15,F,4.17,1,4.89
164,18-05-2021 04:27,P0319,5,visa,4.04159E+12,F,3.51,1,4.69
165,18-05-2021 04:40,P0038,4,mastercard,5.10875E+15,F,4.71,2,4.99
166,18-05-2021 06:04,P0056,5,mastercard,5.04838E+15,F,5.95,1,7.19
167,18-05-2021 09:03,P0284,6,mastercard,5.10876E+15,F,1.03,1,1.59
168,18-05-2021 09:48,P0637,5,mastercard,5.04837E+15,F,15.32,2,17.09
169,18-05-2021 12:04,P0693,5,,3.72301E+14,F,15.07,1,16.69
170,18-05-2021 14:02,P0247,2,visa,4.0416E+12,F,13.58,2,14.79
171,18-05-2021 19:07,P0351,6,mastercard,5.04838E+15,F,10.04,3,11.39
172,18-05-2021 21:42,P0156,7,americanexpress,3.74289E+14,F,11.37,4,12.39
173,19-05-2021 00:14,P0474,7,visa,4.04159E+12,F,15.66,3,17.49
174,19-05-2021 01:35,P0343,9,americanexpress,3.74289E+14,F,3.66,4,4.79
175,19-05-2021 03:03,P0522,9,americanexpress,3.74284E+14,F,4.9,3,5.39
176,19-05-2021 03:39,P0692,8,americanexpress,3.74288E+14,F,11.98,1,13.49
177,19-05-2021 04:44,P0402,7,visa,4.04159E+15,F,11.61,3,12.79
178,19-05-2021 06:06,P0258,8,americanexpress,3.74284E+14,T,16.65,4,18.09
179,19-05-2021 07:10,P0442,5,mastercard,5.04837E+15,F,14.89,1,16.39
180,19-05-2021 13:13,P0364,6,mastercard,5.04837E+15,F,15.78,1,17.59
181,19-05-2021 13:46,P0483,4,visa,4.04159E+15,T,17.52,2,18.69
182,19-05-2021 14:18,P0590,4,visa,4.0416E+15,F,8.1,2,8.79
183,19-05-2021 16:12,P0010,7,mastercard,5.10876E+15,F,3.3,3,4.49
184,19-05-2021 17:46,P0314,7,americanexpress,3.74289E+14,T,14.84,3,16.29
185,19-05-2021 17:59,P0664,4,americanexpress,3.74288E+14,F,3.42,2,4.59
186,19-05-2021 19:38,P0600,2,mastercard,5.04838E+15,F,7.38,2,8.29
187,19-05-2021 20:15,P0388,3,visa,4.0416E+15,F,17.9,2,19.39
188,19-05-2021 21:38,P0235,3,visa,4.04159E+15,F,11.99,2,13.49
189,19-05-2021 22:15,P0316,6,visa,4.0416E+12,F,1.81,2,2.19
190,19-05-2021 22:29,P0048,4,mastercard,5.04837E+15,F,17.85,4,19.29
191,20-05-2021 00:59,P0220,4,mastercard,5.04837E+15,F,16,1,17.79
192,20-05-2021 03:18,P0204,4,americanexpress,3.74284E+14,T,9.72,1,11.19
193,20-05-2021 03:26,P0304,4,americanexpress,3.74284E+14,F,9.19,2,10.69
194,20-05-2021 05:10,P0498,5,visa,4.0416E+12,F,11.6,1,12.79
195,20-05-2021 08:07,P0230,6,americanexpress,3.74289E+14,F,4.3,1,4.99
196,20-05-2021 09:05,P0355,6,visa,4.04159E+12,F,6.54,1,7.89
197,20-05-2021 09:47,P0641,6,visa,4.0416E+12,F,13.58,6,14.79
198,20-05-2021 10:37,P0475,5,americanexpress,3.74284E+14,F,8.08,5,8.79
199,20-05-2021 11:33,P0283,5,visa,4.04159E+15,F,1.68,1,1.89
200,20-05-2021 13:25,P0201,6,americanexpress,3.74284E+14,F,9.9,3,11.29
201,20-05-2021 13:42,P0066,4,visa,4.0416E+12,F,9.89,2,11.29
202,20-05-2021 17:11,P0727,10,visa,4.04159E+12,T,15.63,2,17.49
203,20-05-2021 19:46,P0165,6,americanexpress,3.74288E+14,F,0.94,1,1.59
204,20-05-2021 20:01,P0319,6,visa,4.04159E+12,F,3.51,5,4.69
205,20-05-2021 23:24,P0245,7,mastercard,5.10875E+15,F,4.19,3,4.89
206,21-05-2021 01:56,P0477,3,americanexpress,3.74283E+14,F,2.19,5,2.89
207,21-05-2021 03:56,P0371,4,americanexpress,3.74283E+14,T,5.38,2,6.29
208,21-05-2021 04:01,P0420,2,americanexpress,3.74284E+14,F,18.06,1,19.69
209,21-05-2021 05:29,P0655,4,mastercard,5.10876E+15,F,12.45,3,14.09
210,21-05-2021 06:42,P0213,6,americanexpress,3.74289E+14,F,11.19,1,11.99
211,21-05-2021 08:14,P0019,3,visa,4.04159E+15,F,8.58,1,9.69
212,21-05-2021 12:43,P0251,3,visa,4.0416E+15,F,2.11,1,2.79
213,21-05-2021 19:56,P0348,7,visa,4.0416E+12,F,6.83,1,8.09
214,21-05-2021 22:20,P0450,6,mastercard,5.04838E+15,F,3.76,3,4.79
215,22-05-2021 02:28,P0370,5,visa,4.04159E+15,F,19.51,1,21.29
216,22-05-2021 04:33,P0299,4,,3.58893E+15,F,13.5,2,14.79
217,22-05-2021 07:02,P0462,4,mastercard,5.04837E+15,F,14.63,1,15.89
218,22-05-2021 13:04,P0448,5,mastercard,5.04837E+15,T,7.11,4,8.19
219,22-05-2021 13:12,P0381,9,americanexpress,3.74284E+14,F,5.05,1,5.69
220,22-05-2021 13:45,P0745,8,visa,4.04159E+12,F,9.85,1,11.29
221,22-05-2021 14:43,P0487,5,mastercard,5.10875E+15,F,11.44,4,12.49
222,22-05-2021 15:23,P0314,9,americanexpress,3.74288E+14,F,14.84,2,16.29
223,22-05-2021 16:40,P0002,9,mastercard,5.04837E+15,F,3.31,1,4.49
224,22-05-2021 22:38,P0456,4,americanexpress,3.74283E+14,F,18.35,3,20.19
225,23-05-2021 06:23,P0528,9,americanexpress,3.74283E+14,F,0.62,1,1.49
226,23-05-2021 09:17,P0048,6,visa,4.0416E+15,F,17.85,2,19.29
227,23-05-2021 09:53,P0532,3,,3.54889E+15,F,8.96,4,10.29
228,23-05-2021 10:57,P0265,6,mastercard,5.04837E+15,F,19.23,2,21.19
229,23-05-2021 16:49,P0384,7,visa,4.0416E+12,T,4.83,2,5.19
230,23-05-2021 17:24,P0344,8,americanexpress,3.74288E+14,F,9.86,1,11.29
231,23-05-2021 17:52,P0407,7,visa,4.04159E+12,F,12.35,3,13.99
232,23-05-2021 19:10,P0512,7,visa,4.0416E+12,F,15.55,1,17.39
233,23-05-2021 21:40,P0247,9,mastercard,5.10876E+15,F,13.58,1,14.79
234,23-05-2021 22:21,P0675,5,visa,4.04159E+15,F,12.34,5,13.99
235,23-05-2021 23:21,P0418,5,mastercard,5.10876E+15,F,13.24,1,14.69
236,24-05-2021 04:03,P0517,8,mastercard,5.10876E+15,F,5.11,2,5.79
237,24-05-2021 06:04,P0465,6,americanexpress,3.74284E+14,F,9.61,2,11.09
238,24-05-2021 06:11,P0409,7,mastercard,5.04837E+15,F,18.03,3,19.69
239,24-05-2021 09:04,P0304,4,americanexpress,3.74289E+14,F,9.19,2,10.69
240,24-05-2021 10:27,P0494,5,mastercard,5.04838E+15,F,17.33,1,18.29
241,24-05-2021 15:29,P0155,6,americanexpress,3.74284E+14,F,7.92,2,8.39
242,24-05-2021 20:50,P0420,9,visa,4.04159E+12,F,18.06,4,19.69
243,24-05-2021 20:53,P0512,9,visa,4.0416E+12,F,15.55,1,17.39
244,24-05-2021 21:01,P0482,4,visa,4.0416E+12,F,2.75,1,3.89
245,24-05-2021 21:37,P0425,8,visa,4.0416E+12,F,10.49,4,11.49
246,25-05-2021 06:12,P0392,8,americanexpress,3.74289E+14,T,13.78,3,14.89
247,25-05-2021 06:15,P0212,3,visa,4.0416E+15,F,1.86,2,2.29
248,25-05-2021 10:01,P0559,5,visa,4.04159E+15,F,6.29,2,7.69
249,25-05-2021 11:43,P0506,4,visa,4.0416E+15,F,10.54,3,11.59
250,25-05-2021 15:39,P0640,8,mastercard,5.04837E+15,F,9.92,1,11.29
251,25-05-2021 23:43,P0741,5,mastercard,5.04837E+15,T,8.06,4,8.69
252,26-05-2021 03:16,P0618,6,visa,4.0416E+12,F,10.03,2,11.39
253,26-05-2021 03:34,P0140,6,mastercard,5.04837E+15,F,1.11,3,1.69
254,26-05-2021 04:13,P0083,3,americanexpress,3.74289E+14,F,3.42,1,4.59
255,26-05-2021 05:41,P0524,8,visa,4.0416E+15,T,10.66,4,11.59
256,26-05-2021 13:32,P0053,5,visa,4.04159E+12,F,0.33,1,1.29
257,26-05-2021 15:22,P0584,5,americanexpress,3.74288E+14,F,12.95,2,14.59
258,26-05-2021 16:51,P0550,6,visa,4.04159E+12,F,15.35,1,17.09
259,26-05-2021 20:01,P0411,5,visa,4.04159E+12,F,13.46,3,14.79
260,26-05-2021 21:10,P0491,8,visa,4.0416E+12,F,18,1,19.59
261,27-05-2021 01:04,P0517,7,americanexpress,3.74289E+14,F,5.11,1,5.79
262,27-05-2021 04:59,P0215,5,visa,4.0416E+15,F,0.81,2,1.59
263,27-05-2021 06:49,P0463,6,mastercard,5.10876E+15,F,12.96,1,14.59
264,27-05-2021 07:22,P0068,7,americanexpress,3.74289E+14,F,7.46,5,8.29
265,27-05-2021 08:32,P0654,5,americanexpress,3.74283E+14,F,8.85,2,10.19
266,27-05-2021 09:50,P0462,7,mastercard,5.04838E+15,F,14.63,1,15.89
267,27-05-2021 12:23,P0560,7,americanexpress,3.74284E+14,F,1.4,1,1.69
268,27-05-2021 12:25,P0640,7,mastercard,5.04838E+15,F,9.92,1,11.29
269,27-05-2021 14:12,P0519,2,visa,4.04159E+15,T,12.45,1,14.09
270,27-05-2021 14:29,P0606,6,visa,4.04159E+15,F,14.31,1,15.19
271,27-05-2021 16:02,P0461,4,mastercard,5.10876E+15,F,15.83,4,17.69
272,27-05-2021 19:11,P0420,5,visa,4.04159E+12,T,18.06,2,19.69
273,27-05-2021 20:12,P0463,7,visa,4.04159E+12,F,12.96,3,14.59
274,27-05-2021 21:02,P0511,8,americanexpress,3.74283E+14,F,7.06,2,8.19
275,27-05-2021 23:14,P0227,7,,5.60222E+18,F,7.59,4,8.29
276,28-05-2021 00:03,P0228,4,visa,4.0416E+15,F,0.09,3,1.09
277,28-05-2021 01:10,P0499,6,americanexpress,3.74288E+14,F,16.3,1,17.99
278,28-05-2021 04:58,P0393,5,mastercard,5.04838E+15,F,10.94,2,11.59
279,28-05-2021 05:07,P0667,6,visa,4.0416E+15,F,12.7,2,14.39
280,28-05-2021 06:32,P0544,6,mastercard,5.04837E+15,F,19.72,4,21.39
281,28-05-2021 06:47,P0158,7,mastercard,5.10876E+15,F,3.02,3,4.19
282,28-05-2021 12:53,P0254,8,mastercard,5.10876E+15,F,11.44,1,12.49
283,28-05-2021 13:17,P0729,7,,5.44099E+15,F,9.34,2,10.89
284,28-05-2021 16:01,P0216,8,americanexpress,3.74283E+14,F,13.96,2,14.89
285,28-05-2021 17:24,P0352,7,americanexpress,3.74283E+14,F,2.04,2,2.59
286,28-05-2021 23:41,P0418,5,mastercard,5.10876E+15,F,13.24,3,14.69
287,29-05-2021 03:26,P0637,11,visa,4.04159E+12,F,15.32,2,17.09
288,29-05-2021 04:12,P0494,6,mastercard,5.04837E+15,F,17.33,3,18.29
289,29-05-2021 05:53,P0503,5,americanexpress,3.74289E+14,F,12.07,1,13.59
290,29-05-2021 06:39,P0498,7,visa,4.04159E+12,T,11.6,1,12.79
291,29-05-2021 11:29,P0599,7,americanexpress,3.74289E+14,F,13.54,2,14.79
292,29-05-2021 11:30,P0223,8,mastercard,5.10875E+15,F,6.71,1,7.99
293,29-05-2021 15:07,P0124,5,americanexpress,3.74289E+14,F,0.87,1,1.59
294,29-05-2021 16:42,P0010,6,mastercard,5.04838E+15,F,3.3,1,4.49
295,29-05-2021 16:50,P0455,6,visa,4.0416E+12,F,1.63,1,1.79
296,29-05-2021 17:26,P0422,5,visa,4.0416E+12,F,4.3,3,4.99
297,29-05-2021 20:39,P0491,5,visa,4.04159E+15,T,18,1,19.59
298,29-05-2021 23:37,P0478,9,,3.57918E+15,F,18.67,3,20.59
299,30-05-2021 03:26,P0299,5,visa,4.04159E+12,F,13.5,1,14.79
300,30-05-2021 05:05,P0570,6,visa,4.0416E+12,T,2.32,3,3.19
301,30-05-2021 06:33,P0380,6,visa,4.0416E+12,F,10.56,4,11.59
302,30-05-2021 09:03,P0348,7,americanexpress,3.74283E+14,F,6.83,2,8.09
303,30-05-2021 10:40,P0598,3,mastercard,5.10875E+15,F,11.99,1,13.49
304,30-05-2021 10:44,P0493,7,visa,4.04159E+15,F,18.02,1,19.69
305,30-05-2021 10:52,P0431,6,mastercard,5.04838E+15,F,10.67,2,11.59
306,30-05-2021 11:31,P0055,8,americanexpress,3.74283E+14,F,4.06,3,4.89
307,30-05-2021 14:45,P0608,5,visa,4.0416E+12,T,11.04,4,11.69
308,30-05-2021 14:54,P0420,12,americanexpress,3.74288E+14,F,18.06,3,19.69
309,30-05-2021 17:54,P0661,7,mastercard,5.10875E+15,F,8.21,2,8.99
310,30-05-2021 18:11,P0606,9,americanexpress,3.74288E+14,F,14.31,2,15.19
311,30-05-2021 22:09,P0131,3,americanexpress,3.74288E+14,F,11.71,1,12.99
312,31-05-2021 03:41,P0474,7,visa,4.0416E+15,F,15.66,2,17.49
313,31-05-2021 04:55,P0599,6,americanexpress,3.74288E+14,T,13.54,4,14.79
314,31-05-2021 05:13,P0581,5,visa,4.0416E+15,F,0.51,5,1.49
315,31-05-2021 06:13,P0339,8,americanexpress,3.74283E+14,T,19.62,3,21.39
316,31-05-2021 06:31,P0503,5,visa,4.04159E+15,F,12.07,1,13.59
317,31-05-2021 08:41,P0254,7,americanexpress,3.74283E+14,T,11.44,2,12.49
318,31-05-2021 09:11,P0240,6,mastercard,5.04838E+15,F,1.27,1,1.69
319,31-05-2021 09:45,P0424,6,mastercard,5.10876E+15,F,6.61,1,7.89
320,31-05-2021 13:02,P0406,2,visa,4.0416E+15,F,7.19,2,8.19
